Wall time,Step,Value
1737676617.2972937,1,1.9059442281723022
1737676617.2982666,2,1.5165443420410156
1737676617.298295,3,1.3217281103134155
1737676617.2983143,4,1.1721959114074707
1737676617.2983325,5,1.0601481199264526
1737676617.2983518,6,0.9590619206428528
1737676617.2983692,7,0.8805444836616516
1737676617.2983925,8,0.8137666583061218
1737676617.29841,9,0.756363570690155
1737676617.2984276,10,0.7069607377052307
1737676617.2984455,11,0.6649286150932312
1737676617.2986624,12,0.6274983286857605
1737676617.2988155,13,0.5940410494804382
1737676617.2989497,14,0.5650771856307983
1737676617.2991798,15,0.5362234711647034
1737676617.2993124,16,0.5099081993103027
1737676617.2994442,17,0.48712047934532166
1737676617.2995753,18,0.47096386551856995
1737676617.2997043,19,0.45037126541137695
1737676617.299834,20,0.4309258460998535
1737676617.2999613,21,0.4045974910259247
1737676617.300085,22,0.3883432447910309
1737676617.3002095,23,0.3766169250011444
1737676617.3003335,24,0.36299869418144226
1737676617.3004596,25,0.3507538139820099
1737676617.3005848,26,0.3377843201160431
1737676617.3007147,27,0.32731810212135315
1737676617.3008497,28,0.31601354479789734
1737676617.3009758,29,0.30564165115356445
1737676617.301113,30,0.2950248718261719
1737676617.3012373,31,0.2858624756336212
1737676617.3013854,32,0.2792374789714813
1737676617.3015256,33,0.2677514851093292
1737676617.3016632,34,0.2607705295085907
1737676617.301791,35,0.2517584264278412
1737676617.3019252,36,0.24435679614543915
1737676617.302061,37,0.23604364693164825
1737676617.3021889,38,0.22807377576828003
1737676617.3023164,39,0.21823911368846893
1737676617.3024418,40,0.2143772691488266
1737676617.3025281,41,0.19810344278812408
1737676617.302606,42,0.19013655185699463
1737676617.3026779,43,0.1863064020872116
1737676617.3027515,44,0.17982278764247894
1737676617.302821,45,0.1736990362405777
1737676617.3028913,46,0.16668890416622162
1737676617.3029666,47,0.16396893560886383
1737676617.3030388,48,0.15826193988323212
1737676617.3031106,49,0.1527995616197586
1737676617.3031814,50,0.15263186395168304
1737676617.3032491,51,0.14401783049106598
1737676617.3033192,52,0.14105869829654694
1737676617.3033922,53,0.13520923256874084
1737676617.3034632,54,0.131392240524292
1737676617.303537,55,0.1281970888376236
1737676617.3036072,56,0.12212085723876953
1737676617.303678,57,0.11936094611883163
1737676617.303748,58,0.1177249550819397
1737676617.303818,59,0.11224690824747086
1737676617.3038843,60,0.10987212508916855
1737676617.3039541,61,0.09899220615625381
1737676617.3040254,62,0.09331205487251282
1737676617.3040962,63,0.08877966552972794
1737676617.3041673,64,0.08577749878168106
1737676617.3042374,65,0.08543845266103745
1737676617.304308,66,0.08228985965251923
1737676617.304379,67,0.07963936775922775
1737676617.3044527,68,0.08046180754899979
1737676617.3045201,69,0.07818814367055893
1737676617.3045895,70,0.07529100030660629
1737676617.3046572,71,0.07428603619337082
1737676617.3047268,72,0.07067620009183884
1737676617.3047984,73,0.06824114173650742
1737676617.3048704,74,0.06674844026565552
1737676617.30494,75,0.06453489512205124
1737676617.3050077,76,0.06365438550710678
1737676617.3050773,77,0.06273732334375381
1737676617.3051474,78,0.05860333517193794
1737676617.3052216,79,0.05692708119750023
1737676617.3052993,80,0.056038808077573776
1737676617.3053727,81,0.04968187212944031
1737676617.3054428,82,0.04695912078022957
1737676617.3055153,83,0.043673038482666016
1737676617.3055859,84,0.043025657534599304
1737676617.3056555,85,0.04250559210777283
1737676617.3057313,86,0.040462445467710495
1737676617.3058019,87,0.040422890335321426
1737676617.3058717,88,0.03976776450872421
1737676617.3059406,89,0.03699203208088875
1737676617.3060095,90,0.0365697406232357
1737676617.3060842,91,0.03663291037082672
1737676617.3061545,92,0.03537154197692871
1737676617.3062239,93,0.03434497117996216
1737676617.3062987,94,0.03475594148039818
1737676617.3063736,95,0.035751186311244965
1737676617.3064516,96,0.033175382763147354
1737676617.306526,97,0.032280657440423965
1737676617.3065996,98,0.03143945708870888
1737676617.3066692,99,0.03117198310792446
1737676617.3067467,100,0.03205258026719093
