Wall time,Step,Value
1732869665.411899,1,1.3291853666305542
1732869665.4170144,2,0.3098163902759552
1732869665.4172876,3,0.15273164212703705
1732869665.4173336,4,0.10421738028526306
1732869665.4173682,5,0.07530716806650162
1732869665.4174013,6,0.05861574411392212
1732869665.4174614,7,0.04504196345806122
1732869665.4175606,8,0.034806713461875916
1732869665.4175968,9,0.027933776378631592
1732869665.4176407,10,0.02161146141588688
1732869665.417716,11,0.016883155331015587
1732869665.4177494,12,0.013137063942849636
1732869665.4177933,13,0.010366401635110378
1732869665.417826,14,0.00821605883538723
1732869665.417898,15,0.006649517919868231
1732869665.4180186,16,0.005569122731685638
1732869665.4181237,17,0.0045960876159369946
1732869665.4182148,18,0.0037677595391869545
1732869665.4183054,19,0.00308098248206079
1732869665.4184008,20,0.0026371038984507322
1732869665.4184926,21,0.0022897401358932257
1732869665.4185786,22,0.0019117958145216107
1732869665.4186683,23,0.0017361523350700736
1732869665.418756,24,0.0014642613241448998
1732869665.4188423,25,0.0013180276146158576
1732869665.4189365,26,0.00114737160038203
1732869665.4190211,27,0.0010143249528482556
1732869665.4191058,28,0.0009136746521107852
1732869665.419186,29,0.0008444289560429752
1732869665.4192734,30,0.0007186430157162249
1732869665.4193513,31,0.000634324736893177
1732869665.4194367,32,0.0005377224297262728
1732869665.4195218,33,0.0005024552810937166
1732869665.4196146,34,0.0004566179995890707
1732869665.4196994,35,0.00040249896119348705
1732869665.419782,36,0.0003577469615265727
1732869665.4198604,37,0.0003083778719883412
1732869665.4199464,38,0.00028522885986603796
1732869665.4200225,39,0.000253683072514832
1732869665.420227,40,0.00022146361880004406
1732869665.4203193,41,0.00020429532742127776
1732869665.4204087,42,0.00017675122944638133
1732869665.420496,43,0.00016447657253593206
1732869665.4205854,44,0.0001448968396289274
1732869665.4206944,45,0.00012758877710439265
1732869665.4207833,46,0.00012135202996432781
1732869665.420862,47,0.00010947394912363961
1732869665.4209468,48,0.0001778462465154007
1732869665.4210393,49,0.0007738668355159461
1732869665.4211278,50,0.00018518416618462652
1732869665.4212222,51,0.00012892916856799275
1732869665.4213173,52,0.00011193606042070314
1732869665.4214008,53,9.122670599026605e-05
1732869665.4214869,54,8.175207040039822e-05
1732869665.4215744,55,8.289266406791285e-05
1732869665.42166,56,0.00011863260442623869
1732869665.421753,57,6.961267354199663e-05
1732869665.4218283,58,6.027155905030668e-05
1732869665.4219124,59,5.457959196064621e-05
1732869665.4220138,60,5.2761137339985e-05
1732869665.422106,61,4.860441913479008e-05
1732869665.4221952,62,4.141331010032445e-05
1732869665.4222791,63,3.8061290979385376e-05
1732869665.4223597,64,3.7504716601688415e-05
1732869665.4224448,65,3.3142874599434435e-05
1732869665.4225373,66,3.155731610604562e-05
1732869665.4226232,67,2.8840149752795696e-05
1732869665.4227064,68,2.7176674848305993e-05
1732869665.422945,69,2.5139752324321307e-05
1732869665.4232996,70,2.2615582565777004e-05
1732869665.4234416,71,2.0912199033773504e-05
1732869665.4235168,72,1.936599801410921e-05
1732869665.4236548,73,1.7921867765835486e-05
1732869665.4238248,74,1.6265536032733507e-05
1732869665.424026,75,1.472128860768862e-05
1732869665.4242532,76,1.29434592963662e-05
1732869665.424537,77,1.2462892300391104e-05
1732869665.4248304,78,1.2101071661163587e-05
1732869665.425104,79,0.00024538926663808525
1732869665.4254217,80,2.414486516499892e-05
1732869665.42571,81,1.7068343368009664e-05
1732869665.4259741,82,1.3296092220116407e-05
1732869665.4263034,83,1.3573550859291572e-05
1732869665.4265304,84,1.227871689479798e-05
1732869665.4267025,85,1.0039434528152924e-05
1732869665.4268856,86,1.1158467714267317e-05
1732869665.4270737,87,8.613477803010028e-06
1732869665.4272876,88,8.754906048125122e-06
1732869665.4273772,89,7.682540854148101e-06
1732869665.4275267,90,7.062028544169152e-06
1732869665.4277515,91,7.258413461386226e-06
1732869665.427848,92,6.407143246178748e-06
1732869665.4280684,93,6.519456746900687e-06
1732869665.4281573,94,5.690115358447656e-06
1732869665.4283054,95,4.8172423703363165e-06
1732869665.428626,96,0.0003718177613336593
1732869665.4287252,97,0.0002040527033386752
1732869665.4288695,98,4.44536235590931e-05
1732869665.429019,99,1.3146775017958134e-05
1732869665.4291022,100,1.169750339613529e-05
