Wall time,Step,Value
1732878318.4864304,1,1.318774938583374
1732878318.4871612,2,0.3056766986846924
1732878318.4871993,3,0.15085850656032562
1732878318.4872677,4,0.10076754540205002
1732878318.4872985,5,0.07386428862810135
1732878318.4873824,6,0.0559847317636013
1732878318.4874136,7,0.04327655956149101
1732878318.4874537,8,0.03324323520064354
1732878318.4875157,9,0.026201898232102394
1732878318.4875455,10,0.019957179203629494
1732878318.4875746,11,0.015548423863947392
1732878318.4876068,12,0.011980018578469753
1732878318.4876769,13,0.00927158072590828
1732878318.4876983,14,0.0074113295413553715
1732878318.487718,15,0.005841830279678106
1732878318.4878738,16,0.004848578479140997
1732878318.4879565,17,0.003968857694417238
1732878318.4880307,18,0.003246741136536002
1732878318.4881034,19,0.00271422672085464
1732878318.4881737,20,0.002310194307938218
1732878318.4882412,21,0.001977708889171481
1732878318.4883118,22,0.0017195498803630471
1732878318.4883816,23,0.0014719326281920075
1732878318.488452,24,0.0013113170862197876
1732878318.4885187,25,0.0011238238075748086
1732878318.4885886,26,0.0009879522258415818
1732878318.4886563,27,0.0008949982584454119
1732878318.488726,28,0.0007785705383867025
1732878318.4887946,29,0.0006844336166977882
1732878318.4888637,30,0.0005904792342334986
1732878318.4889336,31,0.0005248276866041124
1732878318.4890034,32,0.0004726302286144346
1732878318.4890735,33,0.000418293901020661
1732878318.4891438,34,0.0003718074003700167
1732878318.4892132,35,0.000326457986375317
1732878318.489283,36,0.00029239070136100054
1732878318.4893498,37,0.00025603509857319295
1732878318.4894223,38,0.0002252654085168615
1732878318.4894917,39,0.00020587591279763728
1732878318.489563,40,0.00018025048484560102
1732878318.4896312,41,0.0001607735175639391
1732878318.489698,42,0.00014391752483788878
1732878318.4897666,43,0.0001299243449466303
1732878318.4898334,44,0.00011600350262597203
1732878318.4899035,45,0.00010557048517512158
1732878318.489972,46,9.489138028584421e-05
1732878318.4900484,47,8.420708036283031e-05
1732878318.4901204,48,7.592824113089591e-05
1732878318.4901898,49,6.701819802401587e-05
1732878318.4902556,50,6.115761789260432e-05
1732878318.4903247,51,5.4512351198354736e-05
1732878318.490394,52,4.877095125266351e-05
1732878318.4904664,53,4.40573894593399e-05
1732878318.490536,54,0.00012784502177964896
1732878318.4906058,55,5.009642700315453e-05
1732878318.4906752,56,4.0273134800372645e-05
1732878318.4907444,57,3.395744352019392e-05
1732878318.4908109,58,3.047117388632614e-05
1732878318.4908805,59,2.7756206691265106e-05
1732878318.4909499,60,2.4816568839014508e-05
1732878318.491019,61,2.2183572582434863e-05
1732878318.4910884,62,2.0345303710200824e-05
1732878318.491155,63,1.8601967894937843e-05
1732878318.4912224,64,1.6994874386000447e-05
1732878318.4912932,65,1.510450692876475e-05
1732878318.4913626,66,1.3884612599213142e-05
1732878318.4914317,67,1.2548157428682316e-05
1732878318.4915006,68,1.1412242201913614e-05
1732878318.4915664,69,1.0467574611539021e-05
1732878318.491632,70,9.376230082125403e-06
1732878318.491701,71,8.635688573122025e-06
1732878318.4917703,72,7.787763934175018e-06
1732878318.4918394,73,7.179765816545114e-06
1732878318.4919088,74,1.8167336747865193e-05
1732878318.4919748,75,0.00033532839734107256
1732878318.4920416,76,2.2779515347792767e-05
1732878318.4921107,77,1.1306171472824644e-05
1732878318.4921775,78,9.159343790088315e-06
1732878318.4922438,79,8.203108336601872e-06
1732878318.4923127,80,7.945430297695566e-06
1732878318.4923825,81,6.841844424343435e-06
1732878318.492448,82,6.414116342057241e-06
1732878318.49252,83,5.91950083617121e-06
1732878318.4925888,84,5.2941836656827945e-06
1732878318.4926574,85,4.84456586491433e-06
1732878318.4927232,86,4.680000984080834e-06
1732878318.4927921,87,4.350248218543129e-06
1732878318.4928613,88,4.041239662910812e-06
1732878318.4929297,89,3.6419198750081705e-06
1732878318.4929988,90,3.354276714162552e-06
1732878318.4930685,91,4.2839947127504274e-06
1732878318.4931376,92,0.00023290231183636934
1732878318.493206,93,1.3255782505439129e-05
1732878318.4932756,94,8.461617653665598e-06
1732878318.493341,95,6.737594958394766e-06
1732878318.4934187,96,5.7968140936282e-06
1732878318.4934845,97,5.192474418436177e-06
1732878318.4935527,98,4.3709219426091295e-06
1732878318.4936182,99,4.410579094837885e-06
1732878318.4936872,100,3.873140030918876e-06
