Wall time,Step,Value
1732808719.6433625,1,1.6272169351577759
1732808719.6446974,2,0.700407087802887
1732808719.6447268,3,0.36319446563720703
1732808719.6447482,4,0.2313479632139206
1732808719.6447678,5,0.16723163425922394
1732808719.6447866,6,0.13563121855258942
1732808719.6448042,7,0.11364931613206863
1732808719.6448216,8,0.09748569875955582
1732808719.6448393,9,0.08766890317201614
1732808719.6448567,10,0.07822532951831818
1732808719.644874,11,0.07155100256204605
1732808719.6449964,12,0.06510777026414871
1732808719.6451883,13,0.05989011004567146
1732808719.6453593,14,0.055521756410598755
1732808719.6454966,15,0.05088549852371216
1732808719.645634,16,0.04796043410897255
1732808719.6457705,17,0.04539269208908081
1732808719.6459064,18,0.04251314327120781
1732808719.6460555,19,0.040143225342035294
1732808719.6462057,20,0.037111494690179825
1732808719.646341,21,0.03551336005330086
1732808719.6464753,22,0.03354616090655327
1732808719.646605,23,0.03172893822193146
1732808719.646741,24,0.029576728120446205
1732808719.6468756,25,0.028690308332443237
1732808719.6470149,26,0.027217542752623558
1732808719.647143,27,0.026233548298478127
1732808719.6472716,28,0.024712949991226196
1732808719.6474028,29,0.02461378462612629
1732808719.6475322,30,0.023076368495821953
1732808719.647663,31,0.022038163617253304
1732808719.6478014,32,0.02099442668259144
1732808719.6479309,33,0.02020651288330555
1732808719.6480606,34,0.019877992570400238
1732808719.6481977,35,0.018881233409047127
1732808719.6483276,36,0.018756713718175888
1732808719.6484652,37,0.017507975921034813
1732808719.6485932,38,0.016678085550665855
1732808719.648721,39,0.015939747914671898
1732808719.6488564,40,0.015377148985862732
1732808719.6489828,41,0.015329696238040924
1732808719.6491132,42,0.014244615100324154
1732808719.6492462,43,0.01392528135329485
1732808719.649375,44,0.013384186662733555
1732808719.6495066,45,0.013115902431309223
1732808719.6496363,46,0.012813206762075424
1732808719.6497629,47,0.012676556594669819
1732808719.6498907,48,0.012039437890052795
1732808719.650033,49,0.011646752245724201
1732808719.6501756,50,0.011691289953887463
1732808719.650304,51,0.011115111410617828
1732808719.650436,52,0.010824042372405529
1732808719.650566,53,0.010365976020693779
1732808719.6507108,54,0.009921054355800152
1732808719.6508543,55,0.009808811359107494
1732808719.6509974,56,0.00934662763029337
1732808719.6511405,57,0.009340085089206696
1732808719.6512847,58,0.00895023625344038
1732808719.6514287,59,0.00906948372721672
1732808719.6515715,60,0.008814155124127865
1732808719.6517146,61,0.008504677563905716
1732808719.651857,62,0.008161291480064392
1732808719.6519992,63,0.007723850663751364
1732808719.652143,64,0.008203678764402866
1732808719.652286,65,0.007539567071944475
1732808719.65243,66,0.007426470518112183
1732808719.6525743,67,0.007077853661030531
1732808719.652718,68,0.007273492868989706
1732808719.6528602,69,0.006976291537284851
1732808719.6530035,70,0.007003767415881157
1732808719.6531465,71,0.006879856344312429
1732808719.653291,72,0.006605579983443022
1732808719.6534345,73,0.006496535148471594
1732808719.6535766,74,0.006236462388187647
1732808719.6537085,75,0.006181930657476187
1732808719.6537848,76,0.005839644465595484
1732808719.6538556,77,0.005982489790767431
1732808719.6539316,78,0.005794206168502569
1732808719.6540396,79,0.005740267690271139
1732808719.654075,80,0.005640121176838875
1732808719.654159,81,0.005417572800070047
1732808719.654232,82,0.005223270505666733
1732808719.6543088,83,0.005401251371949911
1732808719.6543884,84,0.005474204663187265
1732808719.6544616,85,0.005077012348920107
1732808719.6545382,86,0.0049246870912611485
1732808719.6546156,87,0.004852124024182558
1732808719.654691,88,0.005006843246519566
1732808719.654767,89,0.0045260656625032425
1732808719.6548483,90,0.004723282065242529
1732808719.6549213,91,0.004648200701922178
1732808719.6549962,92,0.004463121760636568
1732808719.6550713,93,0.004588861484080553
1732808719.6551492,94,0.004314393270760775
1732808719.6552246,95,0.0040596965700387955
1732808719.6553063,96,0.0043272762559354305
1732808719.6553814,97,0.004204402677714825
1732808719.6554563,98,0.004195742309093475
1732808719.655533,99,0.004150522872805595
1732808719.6556077,100,0.00380331720225513
